id,location,file_index
0,città,0
1,città,0
2,siciliana,0
3,Sicilia,0
4,campana,0
5,mare,1
6,campana,2
7,terra,2
8,genovese,3
9,genovesi,3
10,territorio,3
11,mondo,3
12,genovese,3
13,ligure,3
14,casa,3
15,ligure,3
16,genovese,3
17,regione,3
18,Recco,3
19,genovese,3
20,piano 16,3
21,casa,4
22,messicana,4
23,paesi,5
24,paesi,5
25,Medio Oriente,5
26,casa,5
27,giapponese,5
28,cinese,6
29,cinese,6
30,angolo,6
31,Giapponese,7
32,strada,8
33,pugliese,8
34,regioni,8
35,Puglia,8
36,Campania,8
37,Sicilia,8
38,casa,8
39,casa,8
40,centro,8
41,mondo,9
42,romagnola,9
43,italiano,9
44,cucina,9
45,zona,9
46,romagnola,9
47,Urbino,9
48,italiane,10
49,casa,13
50,cinesi,14
51,Capodanno cinese,14
52,cinesi,14
53,cinesi,14
54,asiatica,14
55,centro,14
